Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"C100360","-55℃~+125℃ 300Ω 50V 62.5mW Thick Film Resistor ±1% ±200ppm/℃ 0402 Chip Resistor - Surface Mount ROHS",20,0.02,"","CR0402FF3000G"
"C106223","39pF 50V NP0 ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS",20,0.04,"","CC0402JRNPO9BN390"
"C115357","-40℃~+85℃ 1.6N 12V 2.9mm 200,000 Cycles 2mm 3.9mm 50mA Round Button SMD(SMT) Tab SPST-NO Surface Mount,Vertical SMD,3.9x2.9mm Tactile Switches ROHS",6,0.80,"","SKRKAEE020"
"C11702","-55℃~+155℃ 1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS",28,0.04,"","0402WGF1001TCE"
"C137984","-55℃~+155℃ 402Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS",20,0.02,"","RC0402FR-07402RL"
"C1542","50V 6.8nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS",20,0.06,"","0402B682K500NT"
"C15850","10uF 25V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS",22,1.42,"","CL21A106KAYNNNE"
"C16780","47uF 6.3V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS",10,1.36,"","CL21A476MQYNNNE"
"C176917","-40℃~+125℃ 1 4 4.3ns@5.5V,50pF 4.5V~5.5V 40uA 74AHCT 8mA 8mA Schmitt trigger Tri-State TSSOP-14 Buffers, Drivers, Receivers, Transceivers ROHS",5,1.01,"","74AHCT125T14-13"
"C189606","-55℃~+150℃ 1 N-channel 100pF 120pF 2.5V 22nC@10V 2W 45mΩ@4.5V 5A 60V 979pF N-Channel SOT-223-3L MOSFETs ROHS",5,1.06,"","NCE6005AR"
"C189750","0℃~+70℃ 1 Gold Harpoon Contact (Plastic) Non-LED Phosphor bronze RJ11 Jack Right Angle Unshielded 插件 Ethernet Connectors / Modular Connectors (RJ45 RJ11) ROHS",2,0.43,"","R-RJ11R06P-A800"
"C19077408","-55℃~+150℃ 1 Independent 10V 150Ω 200nA 20Ω 350mW 9.5V~10.5V SOD-123 Zener Diodes ROHS",15,0.27,"","BZT52C10"
"C192432","16V 220nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS",20,0.09,"","0402B224K160NT"
"C100218","-55℃~+125℃ 120Ω 50V 62.5mW Thick Film Resistor ±1% ±200ppm/℃ 0402 Chip Resistor - Surface Mount ROHS",20,0.02,"","CR0402FF1200G"
"C25754","-55℃~+155℃ 13kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS",20,0.03,"","0402WGF1302TCE"
